Student Email,Assessment Name,Score,Date
james.kamau@student.com,Introduction to Machine Learning,85,2024-01-15
sarah.akinyi@student.com,Introduction to Machine Learning,92,2024-01-15
peter.odhiambo@student.com,Introduction to Machine Learning,78,2024-01-20
mary.wanjiku@student.com,Introduction to Machine Learning,88,2024-01-22
david.mutua@student.com,Introduction to Machine Learning,95,2024-01-25
james.kamau@student.com,Introduction to Machine Learning,72,2024-01-18
sarah.akinyi@student.com,Introduction to Machine Learning,91,2024-01-21
peter.odhiambo@student.com,Introduction to Machine Learning,65,2024-01-16
mary.wanjiku@student.com,Introduction to Machine Learning,82,2024-01-24
david.mutua@student.com,Introduction to Machine Learning,89,2024-01-23
