Student Email,Assessment Name,Score,Date
james.kamau@student.com,Introduction to Machine Learning,5,1/15/2024
sarah.akinyi@student.com,Introduction to Machine Learning,92,1/15/2024
peter.odhiambo@student.com,Introduction to Machine Learning,78,1/20/2024
mary.wanjiku@student.com,Introduction to Machine Learning,56,1/22/2024
david.mutua@student.com,Introduction to Machine Learning,23,1/25/2024
james.kamau@student.com,Introduction to Machine Learning,72,1/18/2024
sarah.akinyi@student.com,Introduction to Machine Learning,91,1/21/2024
peter.odhiambo@student.com,Introduction to Machine Learning,44,1/16/2024
mary.wanjiku@student.com,Introduction to Machine Learning,82,1/24/2024
david.mutua@student.com,Introduction to Machine Learning,67,1/23/2024
