Student Email,Assessment Name,Score,Date
demo.student01@teachlink.com,Decision Tree,92,4/4/2026
demo.student02@teachlink.com,Decision Tree,32,4/5/2026
demo.student03@teachlink.com,Decision Tree,78,4/6/2026
demo.student04@teachlink.com,Decision Tree,38,4/7/2026
demo.student05@teachlink.com,Decision Tree,85,4/8/2026
demo.student06@teachlink.com,Decision Tree,52,4/9/2026
demo.student07@teachlink.com,Decision Tree,95,4/10/2026
demo.student08@teachlink.com,Decision Tree,23,4/11/2026
demo.student09@teachlink.com,Decision Tree,68,4/12/2026
demo.student10@teachlink.com,Decision Tree,72,4/13/2026
demo.student11@teachlink.com,Decision Tree,85,4/14/2026
demo.student12@teachlink.com,Decision Tree,88,4/15/2026
