Email,Assessment Name,Score,Date
sama.zama@teachlink.com,Tree decision project,85,4/4/2026
demo.student11@teachlink.com,Tree decision project,43,4/5/2026
demo.student01@teachlink.com,Tree decision project,54,4/6/2026
demo.student12@teachlink.com,Tree decision project,65,4/7/2026
demo.student02@teachlink.com,Tree decision project,23,4/8/2026
demo.student07@teachlink.com,Tree decision project,23,4/9/2026
demo.student03@teachlink.com,Tree decision project,23,4/10/2026
demo.student08@teachlink.com,Tree decision project,67,4/11/2026
demo.student09@teachlink.com,Tree decision project,22,4/12/2026
demo.student04@teachlink.com,Tree decision project,66,4/13/2026
demo.student10@teachlink.com,Tree decision project,88,4/14/2026
demo.student05@teachlink.com,Tree decision project,0,4/15/2026
demo.student06@teachlink.com,Tree decision project,2,4/16/2026
