Email,Assessment Name,Score,Date
gladys.mange@teachlink.com,Unsupervised learning,23,4/4/2026
leonkangogo@teachlink.com,Unsupervised learning,23,4/5/2026
sama.zama@teachlink.com,Unsupervised learning,45,4/6/2026
demo.student11@teachlink.com,Unsupervised learning,56,4/7/2026
demo.student01@teachlink.com,Unsupervised learning,67,4/8/2026
demo.student12@teachlink.com,Unsupervised learning,78,4/9/2026
demo.student02@teachlink.com,Unsupervised learning,12,4/10/2026
demo.student07@teachlink.com,Unsupervised learning,34,4/11/2026
demo.student03@teachlink.com,Unsupervised learning,45,4/12/2026
demo.student08@teachlink.com,Unsupervised learning,56,4/13/2026
demo.student09@teachlink.com,Unsupervised learning,67,4/14/2026
demo.student04@teachlink.com,Unsupervised learning,78,4/15/2026
demo.student10@teachlink.com,Unsupervised learning,98,4/16/2026
demo.student05@teachlink.com,Unsupervised learning,23,4/17/2026
demo.student06@teachlink.com,Unsupervised learning,12,4/18/2026
