Student Email,Assessment Name,Score,Date
demo.student01@teachlink.com,Machine Learning Assessment,92,4/1/2024
demo.student02@teachlink.com,Machine Learning Assessment,87,4/1/2024
demo.student03@teachlink.com,Machine Learning Assessment,57,4/1/2024
demo.student04@teachlink.com,Machine Learning Assessment,34,4/1/2024
demo.student05@teachlink.com,Machine Learning Assessment,35,4/1/2024
demo.student06@teachlink.com,Machine Learning Assessment,24,4/1/2024
demo.student07@teachlink.com,Machine Learning Assessment,84,4/1/2024
demo.student08@teachlink.com,Machine Learning Assessment,55,4/1/2024
demo.student09@teachlink.com,Machine Learning Assessment,69,4/1/2024
demo.student10@teachlink.com,Machine Learning Assessment,39,4/1/2024
demo.student11@teachlink.com,Machine Learning Assessment,23,4/1/2024
demo.student12@teachlink.com,Machine Learning Assessment,90,4/1/2024
